area_type,availability,Location,society,Area,Bathroom,balcony,Price,Bhk
Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2825.0,4.0,3.0,250.0,4
Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,1875.0,3.0,1.0,167.0,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,NCaveun,1394.0,2.0,1.0,100.0,2
Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,1077.0,2.0,2.0,93.0,2
Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,1590.0,3.0,3.0,131.0,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2180.0,3.0,2.0,210.0,3
Super built-up  Area,18-May,1st Phase JP Nagar,Inntsth,2077.0,3.0,3.0,175.0,3
Super built-up  Area,Ready To Move,1st Phase JP Nagar,NCaveun,1205.0,2.0,1.0,85.0,2
Super built-up  Area,Ready To Move,1st Phase JP Nagar,Prhtsok,2615.0,5.0,3.0,222.0,4
Built-up  Area,Ready To Move,5th Phase JP Nagar,Prenty ,1150.0,3.0,3.0,52.5,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,MBncele,1485.0,2.0,2.0,67.0,3
Built-up  Area,Ready To Move,5th Phase JP Nagar,Shenshi,600.0,1.0,1.0,30.0,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,Maodser,1000.0,2.0,0.0,48.0,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,MBaleRo,1350.0,2.0,1.0,75.0,3
Built-up  Area,Ready To Move,5th Phase JP Nagar,Matonr ,1030.0,2.0,2.0,57.0,2
Built-up  Area,Ready To Move,5th Phase JP Nagar,Niaveha,1190.0,2.0,2.0,61.8,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,Maodser,1080.0,2.0,1.0,53.0,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,Mangsr ,1041.0,2.0,2.0,54.0,2
Super built-up  Area,Ready To Move,5th Phase JP Nagar,NDncysi,1450.0,2.0,2.0,73.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3
Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,2225.0,3.0,1.0,160.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,71.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brsiaen,1450.0,2.0,1.0,100.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,2.0,96.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,2.0,69.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1180.0,2.0,2.0,72.0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,LencyRe,1050.0,2.0,1.0,57.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,83.0,2
Super built-up  Area,19-Dec,7th Phase JP Nagar,Puarero,2503.0,4.0,0.0,188.0,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,JDensar,1250.0,3.0,2.0,65.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,140.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,120.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1175.0,2.0,2.0,82.5,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1215.0,2.0,2.0,90.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Axdam V,1300.0,3.0,2.0,89.13,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,73.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1450.0,3.0,2.0,100.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,BriumMi,1275.0,2.0,1.0,87.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1650.0,3.0,2.0,110.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1000.0,2.0,2.0,53.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1460.0,2.0,2.0,100.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1650.0,3.0,3.0,110.0,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1200.0,2.0,2.0,62.5,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Axdam V,1000.0,2.0,1.0,70.65,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,75.0,2
